,All_Meta,Error_BBoxes,Error_Only,Meta_BBoxes,Meta_Only
Artifacts,0.752,0.76,0.755,0.752,0.494
badsequence,0.999,0.999,0.998,0.999,0.516
Field_artefacts,0.853,0.866,0.869,0.853,0.498
highiron-lowt1,0.824,0.852,0.854,0.824,0.515
lookuptable-rip,0.836,0.858,0.856,0.836,0.53
m50pcfail,0.924,0.928,0.922,0.924,0.459
Other_Unlisted,0.897,0.9,0.894,0.897,0.497
pdff35,0.842,0.858,0.856,0.842,0.472
Rainbow,0.916,0.92,0.916,0.916,0.497
Segmentation_fail,0.894,0.897,0.894,0.894,0.506
Wrong_location,0.967,0.96,0.897,0.967,0.466
zeroct1,0.906,0.911,0.911,0.906,0.457
