,All_Meta,Error_BBoxes,Error_Only,Meta_BBoxes,Meta_Only
Artifacts,0.029,0.026,0.026,0.029,0.04
badsequence,0.0,0.0,0.0,0.0,0.012
Field_artefacts,0.02,0.018,0.019,0.02,0.04
highiron-lowt1,0.032,0.03,0.034,0.032,0.047
lookuptable-rip,0.058,0.045,0.042,0.058,0.066
m50pcfail,0.017,0.015,0.016,0.017,0.039
Other_Unlisted,0.016,0.016,0.016,0.016,0.034
pdff35,0.043,0.042,0.04,0.043,0.05
Rainbow,0.012,0.013,0.014,0.012,0.03
Segmentation_fail,0.022,0.02,0.021,0.022,0.03
Wrong_location,0.03,0.045,0.055,0.03,0.095
zeroct1,0.026,0.026,0.025,0.026,0.038
